aantal,handlengte,handbreedte,geslacht
1,18.5,10,M
2,17.5,9.5,V
3,16.5,9,V
4,19,10,M
5,17.5,10,V
6,18,19.5,M
7,18.5,10,M
8,18,11,M
9,19,10.5,M
10,16.5,10.5,M
11,20,11,M
12,17,10,V
13,17,9,V
14,18.5,11,M
15,20,10,M
16,20,11,M
17,16,8.5,V
18,18,11,M
19,17,9,M
20,15.5,8.5,V
21,20,9.5,M
22,19,10.5,M
23,21,11,M
24,20,11,M
25,20,11,M
26,20,12,M
27,19,10,M
28,18.5,11,M
29,18.5,10.5,M
30,19.5,11,M
31,18.5,9.5,V
32,17,9.5,V
33,17.5,9,V
34,19,10,M
35,20,11,M
36,18.5,10,M
37,20,9.5,M
38,19,10.5,M
39,17,9.5,M
40,19,10.5,M
